Model,Accuracy,Precision,Recall,F1-score
MobileNetV2,0.6389776357827476,0.6361620386908763,0.6256247126866409,0.6177553928126457
ResNet50,0.6996805111821086,0.6754758332072467,0.6587123463759637,0.6633693695823258
DenseNet121,0.7252396166134185,0.745390971453951,0.6599980194174423,0.6623528601374993

